t,x1,x2,v1,v2,a1,a2
0.297,1.97,3.36,-2.55,0.987,-8.31,-2.83
0.305,1.94,3.36,-2.62,0.96,-8.42,-3.39
0.314,1.92,3.37,-2.7,0.929,-8.54,-3.96
0.322,1.9,3.38,-2.77,0.892,-8.69,-4.57
0.331,1.87,3.39,-2.85,0.85,-8.85,-5.2
0.339,1.85,3.39,-2.92,0.805,-9.02,-5.84
0.347,1.82,3.4,-3,0.753,-9.22,-6.51
0.356,1.8,3.41,-3.07,0.696,-9.43,-7.21
0.364,1.77,3.41,-3.15,0.633,-9.67,-7.95
0.372,1.75,3.42,-3.23,0.566,-9.91,-8.7
0.38,1.72,3.42,-3.31,0.493,-10.2,-9.48
0.388,1.69,3.42,-3.4,0.413,-10.5,-10.3
0.396,1.67,3.43,-3.48,0.326,-10.8,-11.2
0.404,1.64,3.43,-3.56,0.239,-11.1,-12
0.412,1.61,3.43,-3.65,0.144,-11.4,-12.9
0.419,1.58,3.43,-3.74,0.043,-11.7,-13.8
0.427,1.56,3.43,-3.83,-0.0653,-12,-14.8
0.433,1.53,3.43,-3.9,-0.159,-12.3,-15.6
0.439,1.51,3.43,-3.98,-0.258,-12.6,-16.4
0.445,1.48,3.43,-4.06,-0.362,-12.9,-17.3
0.451,1.46,3.43,-4.14,-0.472,-13.1,-18.1
0.457,1.44,3.42,-4.21,-0.57,-13.4,-18.9
0.462,1.41,3.42,-4.28,-0.672,-13.6,-19.7
0.467,1.39,3.42,-4.35,-0.778,-13.9,-20.4
0.473,1.37,3.41,-4.43,-0.888,-14.1,-21.2
0.477,1.35,3.41,-4.49,-0.99,-14.3,-22
0.482,1.32,3.4,-4.56,-1.1,-14.5,-22.7
0.487,1.3,3.4,-4.63,-1.2,-14.7,-23.4
0.491,1.28,3.39,-4.7,-1.32,-14.8,-24.2
0.496,1.26,3.38,-4.77,-1.43,-15,-24.9
0.501,1.24,3.38,-4.84,-1.54,-15.2,-25.6
0.505,1.21,3.37,-4.91,-1.66,-15.3,-26.3
0.51,1.19,3.36,-4.98,-1.78,-15.4,-27
0.514,1.17,3.35,-5.05,-1.91,-15.5,-27.7
0.519,1.15,3.35,-5.12,-2.03,-15.6,-28.4
0.523,1.12,3.34,-5.19,-2.16,-15.6,-29
0.528,1.1,3.33,-5.26,-2.3,-15.7,-29.7
0.532,1.08,3.31,-5.33,-2.43,-15.7,-30.3
0.537,1.05,3.3,-5.4,-2.57,-15.7,-30.9
0.541,1.03,3.29,-5.47,-2.71,-15.6,-31.6
0.546,1,3.28,-5.54,-2.86,-15.6,-32.1
0.551,0.976,3.27,-5.61,-3.01,-15.5,-32.7
0.555,0.951,3.25,-5.68,-3.16,-15.3,-33.2
0.56,0.925,3.24,-5.75,-3.31,-15.2,-33.7
0.564,0.898,3.22,-5.82,-3.46,-15,-34.2
0.569,0.871,3.2,-5.89,-3.62,-14.7,-34.6
0.573,0.844,3.19,-5.96,-3.78,-14.4,-35
0.578,0.816,3.17,-6.02,-3.95,-14.1,-35.4
0.583,0.788,3.15,-6.09,-4.11,-13.7,-35.7
0.588,0.759,3.13,-6.15,-4.28,-13.3,-36
0.592,0.729,3.11,-6.21,-4.46,-12.8,-36.2
0.597,0.699,3.09,-6.27,-4.63,-12.3,-36.4
0.602,0.669,3.07,-6.33,-4.8,-11.7,-36.5
0.607,0.637,3.04,-6.39,-4.99,-11,-36.6
0.612,0.605,3.02,-6.44,-5.17,-10.3,-36.6
0.617,0.573,2.99,-6.49,-5.35,-9.49,-36.5
0.622,0.54,2.96,-6.54,-5.54,-8.63,-36.4
0.627,0.504,2.93,-6.58,-5.73,-7.65,-36.2
0.633,0.469,2.9,-6.62,-5.93,-6.59,-35.9
0.638,0.433,2.87,-6.65,-6.12,-5.46,-35.5
0.644,0.397,2.83,-6.68,-6.31,-4.26,-35.1
0.65,0.355,2.79,-6.7,-6.53,-2.8,-34.5
0.656,0.314,2.75,-6.71,-6.74,-1.25,-33.8
0.662,0.272,2.71,-6.72,-6.95,0.386,-33
0.668,0.231,2.67,-6.71,-7.15,2.11,-32
0.675,0.189,2.62,-6.69,-7.34,3.92,-31
0.681,0.148,2.58,-6.66,-7.53,5.81,-29.9
0.687,0.107,2.53,-6.62,-7.71,7.77,-28.6
0.693,0.0657,2.48,-6.56,-7.88,9.81,-27.3
0.698,0.0314,2.44,-6.51,-8.03,11.6,-26.1
0.704,-0.00267,2.4,-6.44,-8.16,13.4,-24.8
0.709,-0.0363,2.35,-6.37,-8.29,15.2,-23.5
0.714,-0.0696,2.31,-6.28,-8.41,17.1,-22.2
0.719,-0.0993,2.27,-6.2,-8.51,18.8,-20.9
0.724,-0.129,2.23,-6.1,-8.61,20.5,-19.6
0.728,-0.157,2.19,-6,-8.7,22.2,-18.2
0.733,-0.186,2.15,-5.89,-8.78,23.9,-16.9
0.738,-0.212,2.11,-5.78,-8.85,25.5,-15.6
0.742,-0.238,2.06,-5.66,-8.92,27.1,-14.3
0.747,-0.264,2.02,-5.53,-8.98,28.7,-13
0.751,-0.289,1.98,-5.4,-9.04,30.2,-11.7
0.756,-0.313,1.94,-5.26,-9.09,31.7,-10.5
0.76,-0.336,1.9,-5.11,-9.13,33.1,-9.32
0.765,-0.359,1.86,-4.96,-9.17,34.5,-8.16
0.769,-0.381,1.82,-4.8,-9.21,35.9,-7.05
0.774,-0.401,1.78,-4.64,-9.24,37.1,-6.05
0.778,-0.421,1.74,-4.48,-9.26,38.3,-5.1
0.783,-0.44,1.7,-4.31,-9.28,39.4,-4.23
0.787,-0.459,1.66,-4.13,-9.3,40.4,-3.43
0.791,-0.476,1.62,-3.96,-9.31,41.4,-2.72
0.795,-0.493,1.58,-3.78,-9.32,42.3,-2.1
0.8,-0.509,1.54,-3.59,-9.33,43.1,-1.58
0.804,-0.524,1.5,-3.41,-9.34,43.9,-1.15
0.808,-0.538,1.46,-3.21,-9.34,44.6,-0.826
0.813,-0.552,1.41,-3.02,-9.34,45.3,-0.613
0.817,-0.565,1.37,-2.82,-9.34,45.9,-0.515
0.822,-0.577,1.33,-2.61,-9.35,46.5,-0.537
0.826,-0.588,1.29,-2.41,-9.35,47,-0.683
0.83,-0.598,1.25,-2.2,-9.35,47.5,-0.958
0.835,-0.607,1.21,-1.99,-9.36,47.9,-1.37
0.839,-0.615,1.17,-1.78,-9.37,48.3,-1.91
0.843,-0.622,1.13,-1.58,-9.37,48.7,-2.54
0.847,-0.628,1.09,-1.38,-9.39,49.1,-3.3
0.851,-0.633,1.05,-1.18,-9.4,49.5,-4.19
0.856,-0.638,1.01,-0.976,-9.42,49.9,-5.21
0.858,-0.64,0.989,-0.838,-9.44,50.1,-5.98
0.861,-0.642,0.962,-0.699,-9.45,50.4,-6.81
0.864,-0.644,0.936,-0.559,-9.47,50.7,-7.72
0.867,-0.646,0.91,-0.418,-9.5,51.1,-8.69
0.869,-0.646,0.884,-0.277,-9.52,51.4,-9.74
0.872,-0.647,0.857,-0.134,-9.55,51.8,-10.9
0.875,-0.647,0.831,0.0097,-9.58,52.2,-12.1
0.878,-0.647,0.804,0.155,-9.62,52.6,-13.4
0.88,-0.646,0.78,0.29,-9.65,53.1,-14.6
0.883,-0.646,0.755,0.427,-9.69,53.5,-16
0.885,-0.644,0.73,0.565,-9.74,54.1,-17.4
0.888,-0.643,0.705,0.705,-9.78,54.6,-18.9
0.89,-0.641,0.682,0.834,-9.83,55.2,-20.4
0.893,-0.639,0.658,0.965,-9.88,55.8,-22
0.895,-0.636,0.635,1.1,-9.93,56.4,-23.6
0.897,-0.633,0.611,1.23,-9.99,57.1,-25.4
0.9,-0.631,0.589,1.36,-10,57.9,-27.1
0.902,-0.627,0.566,1.5,-10.1,58.6,-29
0.904,-0.624,0.543,1.63,-10.2,59.5,-30.9
0.906,-0.62,0.52,1.77,-10.3,60.3,-32.9
0.909,-0.616,0.496,1.9,-10.3,61.3,-35
0.911,-0.611,0.473,2.04,-10.4,62.2,-37.3
0.913,-0.607,0.449,2.18,-10.5,63.3,-39.6
0.916,-0.601,0.426,2.33,-10.6,64.4,-42
0.918,-0.596,0.402,2.47,-10.7,65.5,-44.4
0.92,-0.591,0.379,2.61,-10.8,66.7,-47
0.922,-0.585,0.355,2.76,-10.9,67.9,-49.6
0.924,-0.579,0.331,2.91,-11,69.2,-52.4
0.926,-0.572,0.308,3.06,-11.1,70.5,-55.1
0.929,-0.566,0.284,3.21,-11.2,71.8,-57.9
0.931,-0.559,0.26,3.36,-11.4,73.1,-60.7
0.933,-0.551,0.236,3.52,-11.5,74.4,-63.6
0.935,-0.544,0.212,3.68,-11.6,75.6,-66.4
0.937,-0.536,0.187,3.84,-11.8,76.8,-69.1
0.939,-0.528,0.163,4,-11.9,77.8,-71.8
0.941,-0.519,0.138,4.16,-12.1,78.7,-74.3
0.943,-0.51,0.111,4.33,-12.2,79.5,-76.6
0.945,-0.501,0.0847,4.5,-12.4,80,-78.7
0.948,-0.491,0.0576,4.68,-12.6,80.1,-80.3
0.95,-0.48,0.0301,4.85,-12.7,79.7,-81.3
0.952,-0.471,0.005,5.01,-12.9,78.9,-81.7
0.954,-0.461,-0.0204,5.16,-13.1,77.5,-81.3
0.956,-0.45,-0.0462,5.31,-13.2,75.4,-80
0.958,-0.44,-0.0722,5.45,-13.4,72.6,-77.8
0.959,-0.431,-0.094,5.57,-13.5,69.7,-75.1
0.961,-0.422,-0.116,5.68,-13.6,66.1,-71.6
0.962,-0.413,-0.138,5.78,-13.7,61.9,-67.3
0.964,-0.403,-0.16,5.88,-13.8,57,-62
0.965,-0.395,-0.179,5.95,-13.9,52.4,-57
0.967,-0.387,-0.198,6.02,-14,47.3,-51.4
0.968,-0.379,-0.217,6.08,-14.1,41.8,-45.1
0.969,-0.371,-0.236,6.13,-14.1,35.9,-38.3
0.971,-0.363,-0.254,6.18,-14.2,30,-31.5
0.972,-0.355,-0.272,6.21,-14.2,23.8,-24.2
0.973,-0.347,-0.291,6.24,-14.2,17.3,-16.7
0.975,-0.339,-0.309,6.25,-14.2,10.8,-8.95
0.976,-0.33,-0.329,6.26,-14.2,3.54,-0.43
0.977,-0.321,-0.348,6.26,-14.2,-3.7,8.11
0.979,-0.313,-0.368,6.25,-14.2,-10.9,16.5
0.98,-0.304,-0.388,6.23,-14.2,-17.9,24.8
0.982,-0.296,-0.407,6.21,-14.2,-24.4,32.5
0.983,-0.287,-0.426,6.17,-14.1,-30.7,39.8
0.984,-0.279,-0.445,6.12,-14,-36.6,46.6
0.986,-0.271,-0.464,6.07,-14,-42.1,52.8
0.987,-0.263,-0.482,6.01,-13.9,-46.9,58.1
0.988,-0.255,-0.5,5.95,-13.8,-51.2,62.9
0.989,-0.248,-0.517,5.88,-13.8,-55.1,67.2
0.991,-0.241,-0.534,5.81,-13.7,-58.6,70.9
0.992,-0.234,-0.551,5.74,-13.6,-61.6,73.9
0.993,-0.227,-0.567,5.66,-13.5,-64.2,76.5
0.994,-0.22,-0.583,5.59,-13.4,-66.5,78.6
0.995,-0.213,-0.599,5.5,-13.3,-68.4,80.3
0.997,-0.206,-0.616,5.42,-13.2,-70.1,81.6
0.998,-0.2,-0.632,5.33,-13.1,-71.5,82.6
0.999,-0.193,-0.648,5.24,-13,-72.6,83.2
1,-0.187,-0.664,5.15,-12.9,-73.4,83.4
1,-0.18,-0.682,5.05,-12.8,-74,83.4
1,-0.173,-0.699,4.95,-12.7,-74.4,83
1,-0.166,-0.716,4.85,-12.6,-74.6,82.4
1.01,-0.16,-0.733,4.75,-12.4,-74.6,81.5
1.01,-0.153,-0.752,4.63,-12.3,-74.4,80.3
1.01,-0.146,-0.771,4.52,-12.2,-74,78.8
1.01,-0.139,-0.789,4.41,-12.1,-73.5,77.2
1.01,-0.132,-0.808,4.29,-12,-72.9,75.5
1.01,-0.124,-0.83,4.16,-11.8,-71.9,73.2
1.02,-0.117,-0.852,4.03,-11.7,-70.9,70.9
1.02,-0.109,-0.873,3.9,-11.6,-69.8,68.4
1.02,-0.102,-0.895,3.77,-11.4,-68.7,66
1.02,-0.0936,-0.921,3.61,-11.3,-67.2,62.8
1.02,-0.0854,-0.948,3.45,-11.1,-65.7,59.8
1.03,-0.0775,-0.973,3.3,-11,-64.2,56.7
1.03,-0.07,-0.999,3.15,-10.9,-62.7,53.8
1.03,-0.0628,-1.02,3.01,-10.7,-61.3,50.9
1.03,-0.056,-1.05,2.87,-10.6,-60,48.1
1.04,-0.0495,-1.07,2.73,-10.5,-58.7,45.5
1.04,-0.0433,-1.1,2.59,-10.4,-57.4,42.9
1.04,-0.0377,-1.12,2.47,-10.3,-56.3,40.6
1.04,-0.0323,-1.14,2.34,-10.2,-55.2,38.3
1.04,-0.0272,-1.17,2.22,-10.2,-54.2,36.1
1.05,-0.0223,-1.19,2.1,-10.1,-53.2,34
1.05,-0.0177,-1.21,1.98,-10,-52.3,32
1.05,-0.0133,-1.24,1.86,-9.93,-51.4,30.1
1.05,-0.00917,-1.26,1.75,-9.87,-50.6,28.2
1.06,-0.00532,-1.28,1.63,-9.81,-49.8,26.4
1.06,-0.00162,-1.3,1.51,-9.75,-49,24.7
1.06,0.0018,-1.33,1.4,-9.69,-48.3,23
1.06,0.00496,-1.35,1.29,-9.64,-47.7,21.5
1.07,0.00785,-1.37,1.18,-9.59,-47.1,19.9
1.07,0.0105,-1.39,1.06,-9.54,-46.5,18.5
1.07,0.0129,-1.42,0.953,-9.5,-46,17
1.07,0.0151,-1.44,0.843,-9.46,-45.5,15.7
1.08,0.017,-1.46,0.735,-9.42,-45,14.4
1.08,0.0186,-1.48,0.627,-9.39,-44.6,13.2
1.08,0.02,-1.51,0.52,-9.36,-44.2,12
1.08,0.0211,-1.53,0.415,-9.33,-43.9,10.8
1.08,0.022,-1.55,0.31,-9.31,-43.5,9.74
1.09,0.0226,-1.58,0.203,-9.29,-43.2,8.67
1.09,0.023,-1.6,0.0967,-9.27,-42.9,7.65
1.09,0.0231,-1.62,-0.00879,-9.25,-42.6,6.67
1.09,0.0229,-1.64,-0.114,-9.23,-42.4,5.73
1.1,0.0225,-1.67,-0.224,-9.22,-42.1,4.78
1.1,0.0218,-1.69,-0.333,-9.21,-41.9,3.88
1.1,0.0208,-1.72,-0.442,-9.2,-41.7,3.01
1.11,0.0195,-1.74,-0.551,-9.19,-41.5,2.19
1.11,0.0178,-1.76,-0.664,-9.19,-41.3,1.36
1.11,0.0158,-1.79,-0.777,-9.19,-41.1,0.576
1.11,0.0136,-1.82,-0.889,-9.18,-40.9,-0.171
1.12,0.011,-1.84,-1,-9.19,-40.8,-0.88
1.12,0.00792,-1.87,-1.12,-9.19,-40.6,-1.58
1.12,0.00454,-1.89,-1.23,-9.2,-40.4,-2.25
1.12,0.000824,-1.92,-1.35,-9.2,-40.3,-2.88
1.13,-0.00322,-1.95,-1.47,-9.21,-40.1,-3.47
1.13,-0.00819,-1.98,-1.6,-9.22,-39.9,-4.09
1.13,-0.0136,-2.01,-1.73,-9.24,-39.8,-4.67
1.14,-0.0194,-2.04,-1.85,-9.25,-39.6,-5.2
1.14,-0.0256,-2.07,-1.98,-9.27,-39.4,-5.69
1.14,-0.0329,-2.1,-2.12,-9.29,-39.1,-6.18
1.15,-0.0407,-2.13,-2.26,-9.32,-38.9,-6.62
1.15,-0.0491,-2.17,-2.4,-9.34,-38.6,-7.01
1.15,-0.0579,-2.2,-2.54,-9.37,-38.3,-7.35
1.16,-0.068,-2.24,-2.68,-9.39,-38,-7.67
1.16,-0.0786,-2.27,-2.83,-9.43,-37.6,-7.93
1.17,-0.0898,-2.31,-2.97,-9.46,-37.2,-8.14
1.17,-0.102,-2.34,-3.12,-9.49,-36.8,-8.31
1.17,-0.115,-2.38,-3.27,-9.52,-36.3,-8.42
1.18,-0.128,-2.42,-3.41,-9.56,-35.8,-8.49
1.18,-0.142,-2.46,-3.56,-9.59,-35.2,-8.51
1.19,-0.157,-2.5,-3.7,-9.63,-34.6,-8.48
1.19,-0.173,-2.54,-3.84,-9.66,-33.9,-8.4
1.19,-0.19,-2.58,-3.99,-9.7,-33.2,-8.28
1.2,-0.207,-2.62,-4.12,-9.73,-32.4,-8.12
1.2,-0.224,-2.66,-4.26,-9.76,-31.6,-7.93
1.21,-0.243,-2.71,-4.39,-9.8,-30.8,-7.7
1.21,-0.262,-2.75,-4.52,-9.83,-29.9,-7.44
1.22,-0.281,-2.79,-4.65,-9.86,-29,-7.16
1.22,-0.301,-2.83,-4.77,-9.89,-28,-6.86
1.22,-0.322,-2.87,-4.89,-9.92,-27,-6.55
1.23,-0.344,-2.92,-5,-9.95,-25.9,-6.22
1.23,-0.366,-2.96,-5.11,-9.97,-24.9,-5.89
1.24,-0.388,-3,-5.22,-10,-23.8,-5.56
1.24,-0.411,-3.05,-5.32,-10,-22.7,-5.22
1.25,-0.435,-3.09,-5.42,-10,-21.5,-4.9
1.25,-0.459,-3.14,-5.51,-10.1,-20.4,-4.58
1.26,-0.484,-3.18,-5.6,-10.1,-19.2,-4.28
1.26,-0.509,-3.23,-5.68,-10.1,-18,-3.99
1.26,-0.535,-3.27,-5.76,-10.1,-16.8,-3.72
1.27,-0.562,-3.32,-5.84,-10.1,-15.7,-3.48
1.27,-0.588,-3.36,-5.9,-10.2,-14.5,-3.25
1.28,-0.616,-3.41,-5.97,-10.2,-13.3,-3.05
1.28,-0.644,-3.46,-6.03,-10.2,-12.1,-2.86
1.29,-0.672,-3.51,-6.08,-10.2,-10.9,-2.7
1.29,-0.701,-3.56,-6.13,-10.2,-9.67,-2.57
1.3,-0.73,-3.6,-6.17,-10.2,-8.46,-2.45
1.3,-0.76,-3.65,-6.21,-10.2,-7.25,-2.34
1.31,-0.79,-3.7,-6.24,-10.2,-6.05,-2.25
1.31,-0.82,-3.75,-6.27,-10.3,-4.85,-2.16
1.32,-0.851,-3.8,-6.29,-10.3,-3.63,-2.08
1.32,-0.881,-3.85,-6.3,-10.3,-2.41,-1.99
1.33,-0.912,-3.9,-6.31,-10.3,-1.18,-1.89
1.33,-0.943,-3.95,-6.32,-10.3,0.056,-1.78
1.34,-0.974,-4,-6.31,-10.3,1.33,-1.63
1.34,-1.01,-4.05,-6.3,-10.3,2.63,-1.46
1.35,-1.04,-4.11,-6.29,-10.3,3.95,-1.24
1.35,-1.07,-4.16,-6.26,-10.3,5.3,-0.969
1.36,-1.1,-4.21,-6.23,-10.3,6.65,-0.652
1.36,-1.13,-4.26,-6.2,-10.3,8.04,-0.274
1.37,-1.16,-4.31,-6.16,-10.3,9.47,0.171
1.37,-1.19,-4.36,-6.11,-10.3,10.9,0.688
1.38,-1.22,-4.41,-6.05,-10.3,12.5,1.31
1.38,-1.25,-4.46,-5.98,-10.3,14.1,2.02
1.39,-1.28,-4.52,-5.9,-10.3,15.7,2.81
1.39,-1.31,-4.57,-5.82,-10.3,17.4,3.69
1.4,-1.34,-4.62,-5.73,-10.3,19,4.57
1.4,-1.36,-4.66,-5.64,-10.2,20.6,5.53
1.4,-1.39,-4.71,-5.54,-10.2,22.2,6.54
1.41,-1.42,-4.76,-5.43,-10.2,23.8,7.61
1.41,-1.44,-4.81,-5.32,-10.1,25.4,8.73
1.42,-1.47,-4.85,-5.2,-10.1,27,9.88
1.42,-1.49,-4.9,-5.07,-10,28.6,11.1
1.43,-1.51,-4.95,-4.93,-9.99,30.1,12.3
1.43,-1.53,-4.99,-4.79,-9.94,31.5,13.4
1.44,-1.56,-5.04,-4.65,-9.88,32.9,14.5
1.44,-1.58,-5.08,-4.5,-9.81,34.1,15.6
1.45,-1.6,-5.12,-4.35,-9.74,35.3,16.6
1.45,-1.61,-5.16,-4.2,-9.66,36.5,17.6
1.45,-1.63,-5.21,-4.03,-9.59,37.5,18.6
1.46,-1.65,-5.25,-3.87,-9.5,38.4,19.4
1.46,-1.67,-5.29,-3.7,-9.42,39.3,20.2
1.47,-1.68,-5.33,-3.52,-9.32,40.1,21
1.47,-1.7,-5.38,-3.33,-9.22,40.7,21.6
1.48,-1.71,-5.42,-3.14,-9.12,41.3,22.2
1.48,-1.73,-5.46,-2.94,-9.01,41.7,22.6
1.49,-1.74,-5.5,-2.75,-8.91,42.1,22.9
1.49,-1.75,-5.54,-2.55,-8.8,42.3,23.1
1.5,-1.76,-5.59,-2.35,-8.69,42.4,23.2
1.5,-1.78,-5.63,-2.15,-8.58,42.4,23.1
1.51,-1.78,-5.67,-1.95,-8.47,42.3,23
1.51,-1.79,-5.71,-1.75,-8.36,42.1,22.7
1.51,-1.8,-5.75,-1.55,-8.26,41.8,22.3
1.52,-1.81,-5.78,-1.36,-8.15,41.5,21.8
1.52,-1.81,-5.82,-1.18,-8.06,41.1,21.3
1.53,-1.82,-5.85,-1,-7.97,40.7,20.7
1.53,-1.82,-5.89,-0.826,-7.88,40.3,20
1.54,-1.83,-5.92,-0.652,-7.8,39.8,19.2
1.54,-1.83,-5.96,-0.479,-7.72,39.4,18.4
1.55,-1.83,-5.99,-0.308,-7.64,38.9,17.5
1.55,-1.83,-6.02,-0.139,-7.56,38.4,16.6
1.55,-1.83,-6.06,0.0271,-7.49,37.9,15.6
1.56,-1.83,-6.09,0.185,-7.43,37.5,14.6
1.56,-1.83,-6.12,0.34,-7.37,37,13.5
1.57,-1.83,-6.15,0.494,-7.32,36.6,12.4
1.57,-1.83,-6.18,0.647,-7.27,36.2,11.3
1.58,-1.82,-6.21,0.797,-7.22,35.8,10.1
1.58,-1.82,-6.24,0.946,-7.18,35.5,8.92
1.58,-1.81,-6.27,1.09,-7.15,35.2,7.66
1.59,-1.81,-6.3,1.24,-7.12,34.9,6.37
1.59,-1.8,-6.33,1.37,-7.1,34.7,5.14
1.6,-1.8,-6.35,1.51,-7.08,34.6,3.88
1.6,-1.79,-6.38,1.64,-7.07,34.5,2.57
1.6,-1.79,-6.41,1.77,-7.06,34.4,1.22
1.61,-1.78,-6.43,1.9,-7.06,34.4,-0.172
1.61,-1.77,-6.46,2.03,-7.06,34.5,-1.61
1.61,-1.76,-6.49,2.17,-7.07,34.6,-3.11
1.62,-1.76,-6.52,2.3,-7.08,34.8,-4.67
1.62,-1.75,-6.54,2.43,-7.1,35.1,-6.26
1.63,-1.74,-6.57,2.56,-7.13,35.4,-7.93
1.63,-1.73,-6.59,2.69,-7.16,35.8,-9.67
1.63,-1.72,-6.62,2.83,-7.2,36.3,-11.5
1.64,-1.71,-6.65,2.95,-7.25,36.8,-13.3
1.64,-1.7,-6.67,3.09,-7.3,37.4,-15.2
1.64,-1.69,-6.7,3.22,-7.36,38.1,-17.3
1.65,-1.67,-6.73,3.36,-7.42,38.9,-19.4
1.65,-1.66,-6.75,3.49,-7.49,39.8,-21.5
1.65,-1.65,-6.77,3.62,-7.56,40.7,-23.7
1.66,-1.64,-6.8,3.75,-7.64,41.7,-26
1.66,-1.63,-6.82,3.89,-7.73,42.9,-28.4
1.66,-1.61,-6.85,4.02,-7.82,44,-30.7
1.67,-1.6,-6.87,4.16,-7.92,45.2,-33.1
1.67,-1.59,-6.9,4.3,-8.02,46.4,-35.6
1.67,-1.58,-6.92,4.44,-8.13,47.8,-38.3
1.68,-1.56,-6.94,4.57,-8.24,49.1,-40.8
1.68,-1.55,-6.97,4.71,-8.36,50.4,-43.3
1.68,-1.54,-6.99,4.85,-8.48,51.8,-45.9
1.68,-1.52,-7.01,4.99,-8.61,53.2,-48.5
1.69,-1.51,-7.03,5.13,-8.74,54.5,-51
1.69,-1.5,-7.06,5.27,-8.87,55.8,-53.4
1.69,-1.48,-7.08,5.41,-9.01,57,-55.7
1.69,-1.47,-7.1,5.56,-9.15,58.1,-57.8
1.7,-1.46,-7.13,5.71,-9.3,59.1,-59.8
1.7,-1.44,-7.15,5.86,-9.46,59.8,-61.4
1.7,-1.43,-7.17,6.02,-9.62,60.2,-62.6
1.7,-1.41,-7.2,6.17,-9.78,60.2,-63.3
1.71,-1.4,-7.22,6.28,-9.9,59.9,-63.4
1.71,-1.39,-7.24,6.4,-10,59.2,-63
1.71,-1.37,-7.26,6.51,-10.1,58.2,-62
1.71,-1.36,-7.28,6.63,-10.3,56.7,-60.5
1.71,-1.35,-7.3,6.73,-10.4,54.8,-58.3
1.72,-1.33,-7.32,6.84,-10.5,52.3,-55.4
1.72,-1.32,-7.34,6.94,-10.6,49.2,-51.7
1.72,-1.31,-7.36,7.03,-10.7,45.6,-47.2
1.72,-1.3,-7.38,7.1,-10.8,42.1,-42.8
1.72,-1.28,-7.39,7.16,-10.8,38.2,-37.8
1.72,-1.27,-7.41,7.22,-10.9,34,-32.4
1.73,-1.26,-7.43,7.27,-10.9,29.4,-26.4
1.73,-1.25,-7.44,7.32,-11,24.8,-20.5
1.73,-1.24,-7.46,7.35,-11,20,-14.2
1.73,-1.23,-7.48,7.38,-11,15.1,-7.77
1.73,-1.22,-7.49,7.4,-11,10.1,-1.16
1.73,-1.2,-7.51,7.41,-11,4.5,6.15
1.74,-1.19,-7.53,7.41,-11,-1.02,13.4
1.74,-1.18,-7.55,7.4,-11,-6.41,20.5
1.74,-1.17,-7.57,7.39,-10.9,-11.6,27.3
1.74,-1.15,-7.59,7.37,-10.9,-16.6,33.9
1.74,-1.14,-7.61,7.33,-10.8,-21.2,40
1.74,-1.13,-7.62,7.29,-10.7,-25.5,45.6
1.75,-1.12,-7.64,7.25,-10.7,-29.3,50.6
1.75,-1.11,-7.66,7.2,-10.6,-32.3,54.5
1.75,-1.1,-7.67,7.15,-10.5,-34.9,57.9
1.75,-1.09,-7.69,7.1,-10.4,-37.2,60.8
